BreachedEntity;State;PublishedDate;BreachType;BreachCategory;RecorsReported;Source;URL
Vimly Benefit Solutions, Inc.;WA;12/13/2019;Electronic;Business;2,675;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Texas Children's Hospital (reported on 12/16/2019);TX;12/16/2019;Paper Data;Medical/Healthcare;597;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
San Francisco Department of Public Health - Zuckerberg SF General Hospital;CA;12/10/2019;Paper Data;Medical/Healthcare;1,174;nbcbayarea.com;#https://www.nbcbayarea.com/news/local/san-francisco/privacy-breach-involving-meal-tray-tickets-at-zuckerberg-san-f
Freedom Innovations, LLC;CA;12/30/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/30/freedom-innovations-notice-of-data-breach-to-consumers/#
North Park University (reported on 12/30/2019);IL;12/30/2019;Electronic;Education;Unknown;ao.vermont.gov;#https://ago.vermont.gov/blog/2019/12/30/north-park-university-notice-of-data-breach-to-consumers/#
Avid Technology, Inc.;MA;12/24/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Avid%20Technology-%20Notice%20of%20Data%20Event-%20%28Notice%20Only%29.p
ACCO Engineered Systems, Inc.;CA;12/26/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/ACCO%20-%20%28Notice%20Only%29.pdf#
Landry's, Inc. - restaurants;TX;12/31/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/CA%20AG%20Attachment%20%28Notice%20Only%29.pdf#
Active Network, LLC - Blue Bear platform;TX;12/30/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Individual%20Letter%20CA.pdf#
Hilltop Health Services - Hilltop Community Resources Residential Youth Services;CO;12/13/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-67.pdf#
National Holdings Corporation;NY;12/10/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-65.pdf#
INTL FCStone, Inc.;NY;12/10/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-64.pdf#
Wyze Labs, Inc.;WA;12/26/2019;Electronic;Business;Unknown;forums.wyzecam.com;#https://forums.wyzecam.com/t/updated-12-29-19-data-leak-12-26-2019/79046#
Sunshine House, Inc.;SC;10/17/2019;Electronic;Education;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-317296.pdf#
NEXT Financial Group, Inc. and Mosaic Financial Associates;TX;10/22/2019;Electronic;Banking/Credit/Financial;478;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/ITU-317962%20(2).pdf#
F & M Bank Corp.;VA;10/21/2019;Electronic;Banking/Credit/Financial;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-317414.pdf#
John M. Scorsine, PLLC dba Kanthaka Group;CO;10/23/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/ITU-317965%20(1).pdf#
414 New York LLC (414 Hotel);NY;10/24/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-317621%20(1).pdf#
JA Glynn & Co. MO 10/15/2019 Electronic Banking/Credit/Financial 1,491;JA;10/15/2019;Electronic;Banking/Credit/Financial;1,491;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-317622.pdf#
Paradise Cruise Line Operator Ltd., dba Bahamas Paradise Cruise Line;FL;10/29/2019;Electronic;Business;Unknown;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/ITU-318912%20(2).pdf#
Greek Orthodox Archdiocese of America;NY;8/5/2019;Electronic;Business;318;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/greek-orthodox-20190806.pdf#
City Abstract LLC;NJ;7/31/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/city-abstract-20190731.pdf#
Avalara, Inc.;WA;6/6/2019;Electronic;Business;1,251;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/avalara-20190613.pdf#
Anvil Accounting Services, LLC;PA;8/7/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/anvil-accounting-20190812.pdf#
Aires;PA;7/31/2019;Electronic;Business;2,002;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/aires-20190805.pdf#
Sweaty Betty Ltd;NY;12/4/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/13/sweaty-betty-ltd-notice-of-data-breach-to-consumers/#
Facebook - current and former employees (reported on 12/13/2019);CA;12/13/2019;Electronic;Business;29,000;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/13/facebook-notice-of-data-breach-to-consumers/#
SmokingPipes.com;SC;12/16/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/16/smokingpipes-com-notice-of-data-breach-to-consumers/#
Preservation Management, Inc.;ME;12/17/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/17/preservation-management-notice-of-data-breach-to-consumers/#
Farmers Insurance - James Gallegos Insurance Agency;CA;11/6/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Sample%20Mailing%20-%20Data%20Breach.pdf#
Arthur J. Gallagher, Inc.;IL;12/6/2019;Electronic;Business;3,330;oag.ca.gov;#https://oag.ca.gov/system/files/CA%20AG%20-%20Exhibit%201%28Notice%20Only%29.pdf#
The Master's Touch, LLC - eNoticesOnline.com;WA;12/13/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/%23601426225v1_USA_%20-%20Notification%20Letter%20CA%20-%20TMT.pdf#
George Paniculam - Financial Planning & Management Center;MD;12/17/2019;Electronic;Banking/Credit/Financial;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/17/george-paniculam-financial-planning-management-center-notice-of-data-brea
SharesPost, Inc.;CA;12/23/2019;Electronic;Banking/Credit/Financial;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/23/sharespost-inc-notice-of-data-breach-to-consumers/#
Western Health Advantage (vendor);CA;12/12/2019;Electronic;Medical/Healthcare;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/WHA_Notices_Sample.pdf#
Islands Restaurants, LP and CA 12/19/2019 Electronic Business UnknownChampagne French Bakery Café;LP;12/19/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Islands%20Press%20Release%20and%20Sub%20Notice%2C%20Champagne%20press
Toondoo.com;DE;12/19/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Sample%20Individual%20Notification%20of%20ToonDoo%20Data%20Breach.pdf#
Moss Adams LLP;WA;12/22/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Moss%20Adams%20-%20Sample%20Consumer%20Notification%20Letter%20%28CA%
HelloTech, Inc.;CA;12/23/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/General%20Notice%20Z507_v02.PDF#
Wawa;PA;12/19/2019;Electronic;Business;Unknown;12/19/2019;#https://www.wawa.com/alerts/data-security#
Service Benefit Plan Administrative Services Corporation;DC;12/12/2019;Electronic;Business;11,536;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Marion Eye Center, LTD.;IL;12/13/2019;Paper Data;Medical/Healthcare;811;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Therapeutic Oasis of the Palm Beaches LLC;FL;12/13/2019;Electronic;Medical/Healthcare;1,100;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
North Ottawa Community Health System;MI;12/16/2019;Electronic;Medical/Healthcare;4,013;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Aflac (reported on 12/16/2019);GA;12/16/2019;Electronic;Medical/Healthcare;1,601;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Sinai Health System (reported on 12/13/2019);IL;12/13/2019;Electronic;Medical/Healthcare;12,578;sinai.org;#https://www.sinai.org/www.sinai.org/securityincident#
Family Care Medical Specialists Group, Inc.;CA;12/8/2019;Paper Data;Medical/Healthcare;2,490;fcsmg.com;#https://www.fcsmg.com/contents/securitybreach#
Equinox, Inc.;NY;12/6/2019;Electronic;Medical/Healthcare;1,021;equinoxinc.org;#https://www.equinoxinc.org/vs-uploads/pdfs/1575561050_NotificationOfDataSecurityIncident-December2019.pdf#
Conway Medical Center;SC;12/5/2019;Electronic;Medical/Healthcare;2,550;conwaymedicalcenter.com;#https://www.conwaymedicalcenter.com/notice-of-data-breach/#
Sunrise Community Health;CO;12/5/2019;Electronic;Medical/Healthcare;7,668;sunrisecommunityhealth.org;#https://sunrisecommunityhealth.org/wp-content/uploads/2019/12/Sunrise-Website-Notice-ENGLISH-version-Dec-5th-20
Children's Hope Alliance (reported on 12/3/2019);NC;12/3/2019;Electronic;Medical/Healthcare;4,564;childrenshopealliance.org;#https://www.childrenshopealliance.org/data-security-event-3/#
Hartman, Blitch & Gartside;FL;12/3/2019;Paper Data;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-61.pdf#
Bainville School District;MT;12/4/2019;Electronic;Education;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-39.pdf#
Disability Insurance Specialists, LLC;CT;12/2/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-38.pdf#
Indiana Trust and Investment Management Company;IN;11/27/2019;Electronic;Banking/Credit/Financial;6,814;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-37.pdf#
Nespresso (customer service partner);NY;11/26/2019;Electronic;Business;939;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-28.pdf#
State Bank of Lizton;IN;11/21/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-57.pdf#
Elizabeth Family Health;CO;11/22/2019;Electronic;Medical/Healthcare;28,375;elizabethfamilyhealth.com;#https://www.elizabethfamilyhealth.com/wp-content/uploads/2019/11/4855659-Substitute-Notice-.pdf#
Century 21 Department Stores, LLC;NY;11/21/2019;Electronic;Business;7,213;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-30.pdf#
C.C. Filson Co.;WA;11/18/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Filson.pdf#
Nationwide Mutual Insurance Company (reported on 11/27/2019);OH;11/27/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-58.pdf#
glassybaby LLC;WA;12/2/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-40.pdf#
National Rural Health Resource Center;MN;12/9/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-42.pdf#
Truman Medical Center, Incorporated;MO;12/5/2019;Electronic;Medical/Healthcare;114,466;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-43.pdf#
Web Courseworks Ltd. (service provider for American Association of Nurse Anesthetists);WI;12/12/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-31.pdf#
James A. Scott & Sons, Inc.;VA;12/10/2019;Electronic;Business;1,550;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-41.pdf#
Magellan Rx Management, subsidiary of Magellan Health, Inc.;AZ;12/4/2019;Electronic;Medical/Healthcare;Unknown;www1.magellanrx.com;#https://www1.magellanrx.com/home/2516-2/#
Master Painters Institute - www.specifpaint.com;MO;12/4/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/04/master-painters-institute-notice-of-data-breach-to-consumers/#
City of New Bedford - New Bedford Port Authority;MA;12/4/2019;Electronic;Government/Military;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/04/city-of-new-bedford-massachusetts-notice-of-data-breach-to-consumers/#
EmployBridge (third-party Corporate Creations);GA;11/8/2019;Electronic;Business;1,522;oag.ca.gov;#https://oag.ca.gov/system/files/EmployBridge%20Individual%20Template%20Notice%20Letter.pdf#
Reiter Berry Farms, Inc. (Reiter Affiliated Companies third-party administrative services company);CA;11/8/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Reiter%20Affiliated%20Companies%20-%20Notice%20of%20Data%20Event%20-%20Ex.
Reiter Brothers, Inc. (Reiter Affiliated Companies third-party administrative services company);CA;11/8/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Reiter%20Affiliated%20Companies%20-%20Notice%20of%20Data%20Event%20-%20Ex.
Jal Berry Farms LLC (Reiter Affiliated Companies third-party administrative services company);CA;11/8/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Reiter%20Affiliated%20Companies%20-%20Notice%20of%20Data%20Event%20-%20Ex.
River Valley Farms LLC (Reiter Affiliated Companies third-party administrative services company);IL;11/8/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Reiter%20Affiliated%20Companies%20-%20Notice%20of%20Data%20Event%20-%20Ex.
CMG CIT Acquisition dba Core Medical Group;NH;12/5/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/12/05/cmg-cit-acquisition-dba-core-medical-group-notice-of-data-breach-to-consum
Youth Development, Inc.;NM;11/26/2019;Electronic;Business;Unknown;ydinm.org;#http://www.ydinm.org/uploads/FileLinks/e003be8369cd4807ad9301d76f32b2de/YDI___Substitute_Notice_4830_9600_8
The UPS Store, Inc. (reported on 11/27/2019);CA;11/27/2019;Electronic;Business;6,400;oag.ca.gov;#https://oag.ca.gov/system/files/California_6%20%28notification%29.pdf#
Choice Hotels International, Inc. (reported on 11/29/2019);MD;11/29/2019;Electronic;Business;88,295;oag.ca.gov;#https://oag.ca.gov/system/files/California%20Notice_2%20%28notification%29.pdf#
Cucamonga Valley Water District (Click2Gov #2);CA;12/4/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/CVWD%20C2G%20Incident%20Notification%20Letter.pdf#
CJGO Fulfillment, Inc. dba CoffeeAM;GA;12/9/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Notice%20Letter%20Sample.pdf#
Rooster Teeth - online store;TX;12/11/2019;Electronic;Business;Unknown;blog.roosterteeth.com;#https://blog.roosterteeth.com/notice-of-data-breach/#
Ronald E. Rosenbaum DMD, PA FL 11/21/2019 Electronic Medical/Healthcare 1,522;PA;11/21/2019;Electronic;Medical/Healthcare;1,522;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
OmniSeq, Inc.;NY;11/21/2019;Electronic;Medical/Healthcare;3,977;omniseq.com;#https://www.omniseq.com/notice/#
Southeastern Minnesota Oral & Maxillofacial Surgery;MN;11/22/2019;Electronic;Medical/Healthcare;80,000;semoms.com;#https://www.semoms.com/data-security-incident/#
Beer Industry - Local Union No. 703 Health and Welfare Fund;IL;11/28/2019;Electronic;Medical/Healthcare;9,279;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
San Francisco VA Health Care System CA 11/27/2019 Electronic Medical/Healthcare 735;VA;11/27/2019;Electronic;Medical/Healthcare;735;sanfrancisco.va.gov;#https://www.sanfrancisco.va.gov/pressreleases/sfvahcs-news-release-20191127.pdf#
La Clinica de La Raza, Inc.;CA;11/22/2019;Electronic;Medical/Healthcare;2,477;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
RiverKids Pediatric Home Health;TX;12/2/2019;Electronic;Medical/Healthcare;10,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Loudoun Medical Group dba Comprehensive Sleep Care Center (CSCC);VA;11/27/2019;Electronic;Medical/Healthcare;15,575;comprehensivesleepcare.com;#https://comprehensivesleepcare.com/notice-of-data-incident/#
City of Waco (Click2Gov #2);TX;12/11/2019;Electronic;Government/Military;Unknown;waco-texas.com;#https://www.waco-texas.com/pdf/information/press-releases/12.12.19.Data%20Security%20Incident.pdf#
Cheyenne Regional Medical Center;WY;12/10/2019;Electronic;Medical/Healthcare;17,549;cheyenneregional.org;#https://www.cheyenneregional.org/home/notification-of-crmc-security-incident/#
Nebraska Medicine;NE;12/4/2019;Electronic;Medical/Healthcare;1,149;hipaajournal.com;#https://www.hipaajournal.com/nebraska-medicine-discovers-insider-data-breach/#
Healthcare Administrative Partners;PA;12/3/2019;Electronic;Business;17,693;hapusa.com;#https://www.hapusa.com/notice-of-data-security-incident/#
Gateway Health Plan LP (third-party PA 11/14/2019 Electronic Medical/Healthcare 753National Imaging Associates, Inc.);LP;11/14/2019;Electronic;Medical/Healthcare;753;gatewayhealthplan.com;#https://www.gatewayhealthplan.com/notifications-and-alerts/notice-of-security-breach#
Medical Park Family Care, Inc.;AK;11/18/2019;Electronic;Medical/Healthcare;500;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
ZoneAlarm;CA;11/9/2019;Electronic;Business;Unknown;tachradar.com;#https://www.techradar.com/news/zonealarm-hit-in-data-breach#
City of College Station (Click2Gov #2);TX;11/18/2019;Electronic;Government/Military;Unknown;cstx.gov;#https://www.cstx.gov/cms/one.aspx?portalId=12410917&pageId=16219652#
VA St. Louis Health Care System MO 11/21/2019 Paper Data Medical/Healthcare 595;VA;11/21/2019;Paper Data;Medical/Healthcare;595;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
PayMyTab;FL;11/19/2019;Electronic;Business;Unknown;vpnmentor.com;#https://www.vpnmentor.com/blog/report-paymytab-leak/#
Penn-Mar Human Services (reported on 11/25/2019);MD;11/25/2019;Electronic;Medical/Healthcare;536;penn-mar.org;#http://www.penn-mar.org/data-security-incident/#
Collins Aerospace;FL;11/20/2019;Electronic;Business;1,500;iowaattorneygeneral.gov;#https://www.iowaattorneygeneral.gov/media/cms/112019_Collins_Aerospace_Security_B_9B192D64FD70D.pdf#
Allied Universal;PA;11/21/2019;Electronic;Business;Unknown;bleepingcomputer.com;#https://www.bleepingcomputer.com/news/security/allied-universal-breached-by-maze-ransomware-stolen-data-leaked/
TrueDialog;TX;12/1/2019;Electronic;Business;Unknown;vpnmentor.com;#https://www.vpnmentor.com/blog/report-truedialog-leak/?=truedialog-exposed-data#
Adobe - Magento Marketplace users;CA;11/27/2019;Electronic;Business;Unknown;zdnet.com;#https://www.zdnet.com/article/adobe-discloses-security-breach-impacting-magento-marketplace-users/#
Wizards of the Coast - Magic Online and MTG Arena users;WA;11/16/2019;Electronic;Business;Unknown;techcrunch.com;#https://techcrunch.com/2019/11/16/magic-the-gathering-wizards-data-exposure/#
Outreach Health Services;TX;11/8/2019;Electronic;Medical/Healthcare;500;outreachhealth.com;#https://outreachhealth.com/notice-to-our-patients-of-possible-unauthorized-access-to-patient-information/#
University of North Carolina at Chapel Hill School of Medicine (reported on 11/12/2019);NC;11/12/2019;Electronic;Medical/Healthcare;3,716;uncnews.unc.edu;#https://uncnews.unc.edu/2019/11/12/school-of-medicine-notifies-patients-about-data-breach-from-phishing-incident/#
Palo Alto Networks (third-party vendor);CA;11/28/2019;Electronic;Business;7;infosecurity-magazine.com;#https://www.infosecurity-magazine.com/news/palo-alto-third-party-data-breach/#
Ivy Rehab Network, Inc. and its affiliated companies;NY;11/26/2019;Electronic;Medical/Healthcare;125,000;ivyrehab.com;#https://www.ivyrehab.com/data-security-notice/#
DiBella's Old Fashioned Submarines;NY;11/26/2019;Electronic;Business;305,000;dibellas.com;#https://www.dibellas.com/security#
Taco Bueno;TX;2/14/2019;Electronic;Business;Unknown;tacobueno.com;#https://www.tacobueno.com/paymentcardincident#
On the Border Mexican Grill & Cantina;TX;11/26/2019;Electronic;Business;Unknown;ontheborder.com;#https://www.ontheborder.com/security.html#
Ascension Borgess Hospital;MI;11/14/2019;Electronic;Medical/Healthcare;996;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Catch Steak;NY;11/25/2019;Electronic;Business;Unknown;catchrestaurants.com;#https://catchrestaurants.com/catchsteaknyc/paymentcardincident#
Catch NYC - including Catch Roof;NY;11/25/2019;Electronic;Business;Unknown;catchrestaurants.com;#https://catchrestaurants.com/catchnyc/paymentcardincident#
Atria Senior Living;KY;11/19/2019;Electronic;Medical/Healthcare;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/Atria%20Ad%20CM%20CA%20r4prf.pdf#
Saint Francis Medical Center - Ferguson Medical Group;MO;11/20/2019;Electronic;Medical/Healthcare;107,054;hipaajournal.com;#https://www.hipaajournal.com/107000-ferguson-medical-group-patients-impacted-by-ransomware-attack/#
Golden Entertainment, Inc.;NV;11/7/2019;Electronic;Business;5,815;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-notif.pdf#
Beneficial State Bank;CA;11/6/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-54.pdf#
Pathway Bank;NE;11/5/2019;Electronic;Banking/Credit/Financial;1,100;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-48.pdf#
Barnard Construction Company, Inc.;MT;11/5/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-27.pdf#
GFS, Inc.;CA;11/13/2019;Electronic;Banking/Credit/Financial;6,110;oag.ca.gov;#https://oag.ca.gov/system/files/GFS%2C%20Inc%20-%20Notice%20of%20Data%20Event%20-%20Exhibit%201%20-%20
